Country,HCI,EDU,HEALTH,SANI,DEBT,GDP,PNEMO,DIARE
Albania,0.54360294,,4.6022253,43.8438649,4605163642,4114.1349,94,1.356009824
United Arab Emirates,0.62127405,,4.04999352,79.6917076,,32024.1978,12,1.045706488
Argentina,0.58855706,5.531050205,9.45598793,49.756298,1.33695E+11,8225.13758,757,5.173022196
Australia,0.75484377,5.085820198,8.56316471,63.6234566,,42783.3226,37,0.395517581
Austria,0.73778212,5.730249882,10.2258253,99.6489704,,48153.324,6,0.394432369
Azerbaijan,0.49745739,3.224309921,2.6137836,24.5081648,4548547550,4950.29479,2449,18.71502521
Burundi,0.34287551,6.171949863,10.3502188,,607230101.8,212.137057,3474,394.6345388
Belgium,0.75272685,6.458099842,10.3545504,79.131369,,44760.2912,12,0.897797304
Benin,0.36558479,3.089270115,2.82528329,,1325336572,1088.75791,6003,207.6609991
Burkina Faso,0.31972128,,5.08159304,,1939710439,624.175165,13557,367.1155504
Bulgaria,0.63661927,4.274290085,6.59577608,51.4179341,55682965449,6988.23332,167,3.95242769
Bahrain,0.60491228,,4.05684614,79.0974583,,19355.921,5,1.834889025
Brazil,0.53295249,5.463550091,8.39480209,39.4570433,2.81651E+11,8597.79434,10204,31.34406623
Botswana,0.36771211,9.632920265,6.5250082,,1643300883,5255.77653,333,136.0857444
Canada,0.77410376,4.840579987,10.717165,80.4620228,,40876.3102,35,0.602044311
Switzerland,0.76814371,4.89041996,10.0690699,99.6171856,,72083.1677,6,1.001958429
Chile,0.62636,4.230649948,7.20918465,61.2207621,,10208.908,114,1.005310413
Cote d'Ivoire,0.3038381,4.41245985,4.46970177,,14895852333,1689.34476,13197,195.2225156
Cameroon,0.37978294,3.109420061,3.73933601,,3237320907,1411.47457,10767,558.7718565
"Congo, Rep.",0.40927175,,2.14222002,,5051234771,2336.16096,,
Colombia,0.58024949,4.776519775,7.31134653,16.632175,53678222227,5193.24146,1763,12.57383006
Costa Rica,0.59775889,6.010300159,7.86019039,35.7765739,7760168637,6801.03673,36,4.113640576
Cyprus,0.68636197,7.205450058,6.46531582,76.4819643,,32109.2425,1,0.168110269
Czech Republic,0.72696912,4.14605999,7.248806,74.9716717,,19861.6974,,
Germany,0.76074028,4.909510136,11.2375851,96.3856306,,41650.3678,48,0.421963954
Denmark,0.74873841,8.448880196,10.6743202,87.7053432,,58163.2769,5,0.75301154
Algeria,0.5312829,,5.3593955,20.0163763,7414292616,3883.2709,1405,10.71404558
Ecuador,0.52580673,4.342420101,5.6990099,40.9003709,13366010558,4231.61923,1309,17.30843465
"Egypt, Arab Rep.",0.47885305,,4.37870121,58.4138575,35397684322,2331.26884,,
Spain,0.70828557,4.912000179,9.10707188,94.335007,,32169.5029,46,0.562942379
Estonia,0.72566378,5.926519871,6.51218891,92.6793527,,14711.7353,7,0.458031006
Finland,0.81736147,6.459559917,9.16122246,82.3016292,,47481.4845,2,0.267809407
France,0.75689185,,11.2875624,78.9608197,,41740.243,45,0.850370016
United Kingdom,0.7654537,5.076459885,9.8809166,97.9016887,,38952.211,136,0.359496636
Georgia,0.54114884,3.222379923,9.56681633,41.5759855,8672797230,2822.66743,88,3.76950397
"Gambia, The",0.37168971,1.908139944,5.18213415,35.4654749,528190671.7,833.28136,,
Greece,0.71486032,,9.40688515,83.1653361,,29828.756,19,0.141019726
Guatemala,0.44194081,,6.33950901,,14824423718,2651.81712,3791,99.93737179
"Hong Kong SAR, China",0.78090757,4.392129898,,86.0426111,,30697.3404,,
Croatia,0.69329935,4.3917799,8.17583179,78.3982733,,14653.0436,6,0.692641046
Hungary,0.68972987,4.958040237,7.2392807,73.1791096,,13081.7926,27,0.614903847
Indonesia,0.49636143,3.525130033,2.62324095,,1.79405E+11,2261.24731,20473,90.54261605
Ireland,0.76630253,6.146460056,10.5062685,68.4868066,,52133.0906,6,0.600291223
"Iran, Islamic Rep.",0.56432194,3.842449903,6.50478983,,18609984964,5709.94829,,
Iceland,0.75517762,7.189849854,8.77518463,60.5428194,,41301.2732,0,0.355860145
Israel,0.71826905,5.493720055,7.06538868,86.6396076,,27780.4637,18,0.848088138
Italy,0.75026584,4.523719788,8.95162296,95.6890793,,37226.7572,44,0.320519785
Jordan,0.55652708,,9.22397041,78.7555666,14269772267,3559.6921,334,4.103380291
Japan,0.8161875,,8.9587822,76.9400238,,41308.9968,203,0.852965043
Kazakhstan,0.59402978,3.060719967,3.49913716,,1.09741E+11,7165.22317,1195,7.522631783
"Korea, Rep.",0.8246274,,5.78228998,87.3168703,,19143.8516,,
Kuwait,0.57171452,,2.70638752,100,,37561.7259,41,1.834892908
Lesotho,0.34088042,,8.99738979,26.5282151,766529460.1,874.72986,781,238.4596658
Lithuania,0.68839002,5.585239887,7.36587334,83.7700456,,11820.7762,17,0.678848203
Luxembourg,0.70020348,,7.33979321,91.7767818,,109419.747,0,0.913483339
Latvia,0.67645812,5.542300224,6.11926985,59.8380964,,12331.9286,11,0.709634571
"Macao SAR, China",0.64832515,2.533230066,,54.7222162,,41010.0683,,
Morocco,0.47443458,5.260640144,5.8412447,35.809673,24725387884,2866.92411,2957,74.17656441
Moldova,0.55578142,9.509759903,13.6766243,,3715120839,1899.01012,146,4.086897194
Madagascar,0.38865483,2.825129986,4.41676188,6.69241652,2846880424,467.539783,9070,494.6679625
Mexico,0.58911878,5.187940121,6.12978458,32.0685671,1.93343E+11,8002.97218,5079,16.97818836
North Macedonia,0.53777397,,6.52846384,12.764979,5246917724,4584.70983,17,3.052503676
Malta,0.68021804,5.070390224,7.9238286,91.8679747,,21083.2771,1,0.352384404
Montenegro,0.58517152,,,32.4681239,2356696743,6727.10777,4,0.61949119
Mauritius,0.60013884,3.047310114,4.2265029,,7318907628,7318.12641,13,7.722411166
Malawi,0.36382145,,8.26966286,21.4370018,1144449860,438.211857,6487,214.2773251
Malaysia,0.58434504,5.974180222,3.2610569,68.1447722,,7292.49497,295,3.064378302
Namibia,0.39370978,,9.04967022,,,4295.38714,382,98.70183973
Netherlands,0.79709911,5.43156004,9.99291134,97.4626632,,52722.2131,15,0.385283256
Norway,0.77056706,7.10337019,9.07431507,61.5929201,,79977.6971,3,0.323048189
New Zealand,0.77869129,6.288169861,9.62076378,79.3973516,,28209.3623,12,1.122731531
Oman,0.54755247,4.187739849,2.8300879,,,16823.795,36,2.727190416
Panama,0.51318192,,6.99648428,,45601302940,7576.14046,168,32.07807607
Peru,0.54535723,3.139940023,4.97619247,27.4986565,37389855105,4196.31163,2430,16.89152577
Poland,0.70144093,4.989769936,6.587708,85.0395128,,11526.0559,140,0.526981452
Portugal,0.74263841,5.563149929,10.1307039,64.4162909,,23151.2154,21,1.01924726
Paraguay,0.51060069,,5.52839279,51.886975,13941379382,3626.81864,243,20.33836031
Qatar,0.59080738,3.413150072,2.38356304,74,,59094.6592,6,2.144003886
Romania,0.59988248,4.002130032,5.27841282,60.4782586,1.13615E+11,8548.11867,774,3.076902665
Russian Federation,0.60054857,,5.64392519,57.8775687,4.06462E+11,8562.81328,,
Saudi Arabia,0.54845566,,4.29041958,45.764927,,16113.1437,132,4.446212318
Senegal,0.3897669,4.920730114,3.84157085,17.0399164,4740018540,1308.93781,4354,237.60948
Singapore,0.84718573,3.010129929,3.39853096,100,,38927.2069,17,0.365227959
Serbia,0.65112382,4.483980179,9.3397665,19.9066963,33809169779,6169.11419,29,0.495524977
Slovak Republic,0.67835772,4.006410122,7.94779444,83.8113648,,16597.2085,,
Slovenia,0.75213003,5.554969788,8.540802,45.0197816,,24792.128,2,0.311120591
Sweden,0.76211333,6.749710083,8.77037907,93.7501635,,46946.9603,7,0.399085632
Eswatini,0.31076908,6.471350193,8.63292217,,533915622,3385.85885,479,227.2863958
Seychelles,0.57453591,,3.88551354,,,9706.95606,2,4.343974047
Chad,0.28607464,2.311739922,4.44166517,8.83428815,1874374207,803.686388,13980,1030.029386
Togo,0.3679496,3.867880106,4.07617235,7.17469527,1723149567,540.608713,2279,628.3437881
Thailand,0.58498532,3.861939907,3.61939621,22.2145,80824068118,4213.00665,796,5.637564087
Timor-Leste,0.4106656,12.90347958,7.30931854,,,676.619075,,
Trinidad and Tobago,0.5505203,,5.48676443,,,14514.2406,20,6.498411286
Tunisia,0.52521431,6.528480053,5.67045975,65.7234559,22911905182,4128.46396,240,2.572980322
Turkey,0.62747639,,5.49438715,67.260423,2.7883E+11,9103.47405,1389,6.248342573
Uganda,0.34381104,,5.78845501,,2763176528,799.965896,10271,107.3304768
Ukraine,0.63258857,7.318019867,6.60771894,48.5632673,1.05306E+11,2639.39165,234,1.067911883
Uruguay,0.59090525,,7.9498806,,,9451.93245,43,4.828452473
United States,0.69150817,,16.2335033,98.0859349,,47099.9805,727,0.35669833
Vietnam,0.65664244,4.816500187,4.16906261,,32741968018,1217.26858,5308,3.892405103
South Africa,0.42533833,5.248690128,8.52350235,,80018268050,6532.73697,7254,148.3283366
Zimbabwe,0.41036552,,,28.9356419,6156585167,771.599032,5057,196.2494816
Afghanistan,0.39,3.511980057,11.8185616,,2596050086,512.012778,15721,142.0100021
Angola,0.36,2.754940033,2.71314907,,57827339857,3506.07313,7162,369.7282602
Albania,0.62,3.962090015,4.91601658,46.6988896,8516222980,4124.05539,80,1.356009824
